screener,win_rate,n,weight
RT_RSI_85,67.9,212,12
RSI_IN_ALL_TF_ABOVE_65,26.4,53,3
RSI_IN_ALL_TF_65,25.9,1699,12
RT_IPO_STOCKS_SCREENER,22.9,192,12
RT_HIGH_STRENGTH,21.9,32,3
PREMIUM_3_FOR_MOMENTUM,20.1,1041,11
DARVAS,19.9,2146,11
RT_52W_BREAKOUT,19.4,525,10
SNIPER_IN_PROCESS,19.0,232,10
RT_SIDEWAY_BREAKOUT,16.8,1538,8
RT_52W_AWAY,16.7,2065,8
PREMIUM_7.1,16.5,3043,8
RT_RANGE_BREAKOUT_WITH_VOLUME,16.0,2327,7
RT_DARVAS_BOX_BREAKOUT_STOCKS,15.9,636,7
RT_SNIPER_ENTRY_IN_PROCESS,15.9,63,3
RT_COP_IN_DAILY,15.6,32,3
RT_FOR_MAJOR_RETRACEMENT_MUTLIEYAR_RETEST_AREA,15.6,32,3
RT_READY_TO_REBOUND,15.2,1006,6
RT_VCP_TURNAROUND,15.2,781,7
RT_15_20_AND_25_AWAY_FROM_52_WEEK_HIGHS,15.2,638,6
RT_MOMENTUM_MONSTERS,14.8,425,6
RT_STOCKS_AT_MAJOR_SUPPORT,14.8,183,6
RT_SIDEWAYS_BREAKOUT_AFTER_A_STRONG_UPTREND,14.4,507,6
RT_52_WEEK_BREAKOUT_SETUPS,14.3,189,6
RT_MASTER_RESISTANCE_BREAKOUT_SCREENER,13.6,1613,5
RT_SHORT_TO_MID_SWING_RANGE_HIGH_BREAKOUT,11.9,67,3
RT_FIB_O.7_TO_0.88_ZONE,11.8,221,3
VCP,10.8,2117,2
RT_DAILY_CONTRACTION,10.7,703,2
RT_IPO_SCREENER,10.1,217,2
RT_COP_STRATEGY,8.4,464,0
RT_MAJOR_SUPPORT,7.9,1341,0
RT_FIB_0.7_TO_0.88_ZONE,6.8,870,0
RT_SHORT_TO_MID_RANGE_BREAKOUT,6.7,238,0
RT_MULTIYEAR_RETEST,6.1,115,3
RT_COP_DAILY,5.9,135,0
GEM_SWING,5.8,103,3
