Symbol,Sector,,,,,
RELIANCE,Oil & Gas - Refining & Marketing,,,,,
HDFCBANK,Private Banks,,,,,
TCS,IT Services & Consulting,,,,,
BHARTIARTL,Telecom Services,,,,,
ICICIBANK,Private Banks,,,,,
SBIN,Public Banks,,,,,
INFY,IT Services & Consulting,,,,,
HINDUNILVR,FMCG - Household Products,,,,,
LICI,Insurance,,,,,
BAJFINANCE,Consumer Finance,,,,,
ITC,FMCG - Tobacco,,,,,
LT,Construction & Engineering,,,,,
HCLTECH,IT Services & Consulting,,,,,
KOTAKBANK,Private Banks,,,,,
SUNPHARMA,Pharmaceuticals,,,,,
MARUTI,Four Wheelers,,,,,
M&M,Four Wheelers,,,,,
ULTRACEMCO,Cement,,,,,
AXISBANK,Private Banks,,,,,
NTPC,Power Generation,,,,,
HAL,Aerospace & Defense Equipments,,,,,
BAJAJFINSV,Insurance,,,,,
ADANIPORTS,Ports,,,,,
ONGC,Oil & Gas - Exploration & Production,,,,,
TITAN,"Precious Metals, Jewellery & Watches",,,,,
ADANIENT,Commodities Trading,,,,,
BEL,Electronic Equipments,,,,,
POWERGRID,Power Transmission & Distribution,,,,,
WIPRO,IT Services & Consulting,,,,,
DMART,Retail - Department Stores,,,,,
JSWSTEEL,Iron & Steel,,,,,
TATAMOTORS,Four Wheelers,,,,,
ETERNAL,Online Services,,,,,
COALINDIA,Mining - Coal,,,,,
ADANIPOWER,Power Generation,,,,,
NESTLEIND,FMCG - Foods,,,,,
ASIANPAINT,Paints,,,,,
INDIGO,Airlines,,,,,
BAJAJ-AUTO,Two Wheelers,,,,,
IOC,Oil & Gas - Refining & Marketing,,,,,
DLF,Real Estate,,,,,
JIOFIN,Consumer Finance,,,,,
TATASTEEL,Iron & Steel,,,,,
TRENT,Retail - Apparel,,,,,
GRASIM,Cement,,,,,
SBILIFE,Insurance,,,,,
HINDZINC,Mining - Diversified,,,,,
DIVISLAB,Labs & Life Sciences Services,,,,,
IRFC,Specialized Finance,,,,,
VEDL,Metals - Diversified,,,,,
HYUNDAI,Four Wheelers,,,,,
ADANIGREEN,Renewable Energy,,,,,
HDFCLIFE,Insurance,,,,,
BAJAJHLDNG,Asset Management,,,,,
VBL,Soft Drinks,,,,,
TECHM,IT Services & Consulting,,,,,
LTIM,IT Services & Consulting,,,,,
EICHERMOT,Trucks & Buses,,,,,
PIDILITIND,Diversified Chemicals,,,,,
BPCL,Oil & Gas - Refining & Marketing,,,,,
HINDALCO,Metals - Aluminium,,,,,
AMBUJACEM,Cement,,,,,
LODHA,Real Estate,,,,,
PFC,Specialized Finance,,,,,
BRITANNIA,FMCG - Foods,,,,,
SOLARINDS,Commodity Chemicals,,,,,
TVSMOTOR,Two Wheelers,,,,,
GODREJCP,FMCG - Personal Products,,,,,
TATAPOWER,Power Transmission & Distribution,,,,,
CHOLAFIN,Consumer Finance,,,,,
PNB,Public Banks,,,,,
SHRIRAMFIN,Consumer Finance,,,,,
MAZDOCK,Shipbuilding,,,,,
BANKBARODA,Public Banks,,,,,
MAXHEALTH,Hospitals & Diagnostic Centres,,,,,
GAIL,Gas Distribution,,,,,
CIPLA,Pharmaceuticals,,,,,
ABB,Heavy Electrical Equipments,,,,,
TORNTPHARM,Pharmaceuticals,,,,,
SIEMENS,Conglomerates,,,,,
UNIONBANK,Public Banks,,,,,
SHREECEM,Cement,,,,,
BOSCHLTD,Auto Parts,,,,,
MANKIND,Pharmaceuticals,,,,,
ENRIN,Power Generation,,,,,
HDFCAMC,Asset Management,,,,,
IDBI,Private Banks,,,,,
MOTHERSON,Auto Parts,,,,,
MUTHOOTFIN,Consumer Finance,,,,,
INDUSTOWER,Telecom Infrastructure,,,,,
CGPOWER,Heavy Electrical Equipments,,,,,
TATACONSUM,Tea & Coffee,,,,,
ADANIENSOL,Power Infrastructure,,,,,
RECLTD,Specialized Finance,,,,,
DRREDDY,Pharmaceuticals,,,,,
APOLLOHOSP,Hospitals & Diagnostic Centres,,,,,
INDHOTEL,"Hotels, Resorts & Cruise Lines",,,,,
CANBK,Public Banks,,,,,
POLYCAB,Electrical Components & Equipments,,,,,
ICICIGI,Insurance,,,,,
BSE,Stock Exchanges & Ratings,,,,,
BAJAJHFL,Consumer Finance,,,,,
UNITDSPR,Alcoholic Beverages,,,,,
CUMMINSIND,Industrial Machinery,,,,,
ZYDUSLIFE,Pharmaceuticals,,,,,
ICICIPRULI,Insurance,,,,,
GMRAIRPORT,Construction & Engineering,,,,,
DIXON,Home Electronics & Appliances,,,,,
HAVELLS,Electrical Components & Equipments,,,,,
JINDALSTEL,Iron & Steel,,,,,
MARICO,FMCG - Personal Products,,,,,
SRF,Diversified Chemicals,,,,,
DABUR,FMCG - Personal Products,,,,,
NTPCGREEN,Renewable Energy,,,,,
JSWENERGY,Power Generation,,,,,
WAAREEENER,Renewable Energy Equipment & Services,,,,,
HINDPETRO,Oil & Gas - Refining & Marketing,,,,,
NAUKRI,Online Services,,,,,
SWIGGY,Online Services,,,,,
SUZLON,Renewable Energy Equipment & Services,,,,,
BHEL,Heavy Electrical Equipments,,,,,
NHPC,Renewable Energy,,,,,
BHARTIHEXA,Telecom Services,,,,,
LUPIN,Pharmaceuticals,,,,,
PERSISTENT,Software Services,,,,,
SBICARD,Payment Infrastructure,,,,,
INDIANB,Public Banks,,,,,
HEROMOTOCO,Two Wheelers,,,,,
POLICYBZR,Online Services,,,,,
